====PARAMETER====
Number_of_Units = 5
Number_of_Offspring = 100
Max_Iteration = 100
Crossover_Probability = 0.9
Mutation_Rate = 0.002
Mutation_Step = 1
====INFO====
Iteration; Highest Performance; Vector with Highest Performance; Performance List
====OUTPUT====
0,21.5948,1 3 1 0 2 0 4 5 0 0 6 ,1.31248 -48836 -84.1282 -48920.7 -49005.3 1.92313 -83.6145 -46437.3 -2299.94 -44306 -169.582 -4602.89 -167.603 -48916.4 -48917.1 -46701.6 -48829.1 -2388.59 -48745.4 -81.9064 -46523.5 -49006.6 -2299.48 -432.404 -4519.15 -46611.8 -46613.4 -46614.8 -46701.1 5.95837 -46525.7 -48917.8 -48918.6 -2567.25 -48916 -49002.7 -167.753 -49002.2 -49004.3 3.74855 5.48795 -49002.3 -83.975 -2474.54 2.73317 -48927.1 -48915.5 -48919.1 -44573.7 -49003 -46613.4 -84.8267 -44656.4 -49002.6 -48916.8 -170.191 -49003.4 -80.6166 -48916.3 -2296.7 -80.8464 -261.45 -49003.3 3.69781 4.99101 -2385.78 -2299.02 9.3886 3.02432 -49002.6 -46699.7 -78.975 -2564.4 -44573.1 -46700 -2385.97 -49000.7 -2299.41 -2474.71 4.50525 -48919.9 -46437.3 -2384.16 -81.2604 -48916.6 1.68309 -48918 -49007.2 -84.8042 -42178.2 6.79316 -83.4119 -2298.51 4.34758 -171.439 21.5948 -48916.6 -44396.9 -48915.4 -49001.9 
1,21.5948,1 3 1 0 2 0 4 5 0 0 6 ,21.5948 -84.8042 1.92316 -84.718 -46700 -432.404 -2476 -85.8732 -46703.3 -2214 4.50553 -83.4118 -71.5064 -2298.08 -2298.51 -2567.24 -46523.5 -48917 -46701.9 3.4978 -46613.4 -171.75 -84.635 -79.6872 -171.577 -2299.94 4.50553 -4784.8 -83.5544 -2386.58 6.79359 -44656.4 -2299.41 -46525.5 -48916.4 3.02432 -82.4019 -2299.48 -49001.9 -170.806 -2474.3 -172.699 -83.7145 -48836 1.68311 -83.1363 -42178.1 -46701.1 -46525.7 21.5922 -2211.94 -167.271 -46701 -2298.7 -44215.9 3.49232 -169.581 1.99996 -49002 -172.699 -264.14 -46524.1 -48849.9 -82.7574 -48828.9 -83.3153 -83.6141 -48918 -173.295 -48916.8 -42178.1 -432.404 1.31252 -2567.24 4.85653 -82.4756 -2299.62 -170.191 -2385.78 -82.0538 -80.6133 -83.9738 -79.9279 -85.8732 -83.3378 -259.574 -49002 1.66709 -83.9136 3.02432 -77.3397 -259.574 -2298.51 -46701.9 -2472.95 -46610.9 3.02432 -84.706 -2481.33 -2212.04 
2,21.5948,1 3 1 0 2 0 4 5 0 0 6 ,21.5948 5.95859 -2385.2 -2474.3 -2299.94 3.02432 3.02432 4.79154 4.18568 3.02432 21.5922 -2211.39 -261.449 -83.614 -259.021 -2298.72 4.85716 2.44384 -49002 -48836 -259.574 -172.699 3.02432 3.02432 -2299.62 -171.75 1.99996 6.25961 -432.404 3.02432 -83.6141 -83.1363 -79.6872 -2213.42 -46789.8 12.6064 -82.4286 -84.718 -84.635 1.6671 4.34773 -2298.66 2.05273 -4603.48 -2301.11 -4694.02 -259.574 -167.271 -4691.1 -4602.88 -80.8179 -166.303 -83.5544 -46610.9 -70.172 5.0601 -4691.24 -2474.3 3.49232 -2298.51 1.31252 -80.6133 -82.7574 -173.785 -83.6123 -49008.6 -2210.14 -75.7344 -46613.4 -261.449 -2472.95 -46523.5 -172.699 -2481.33 -171.655 -2387.96 -83.6141 -82.4756 -82.0538 -2212.04 -171.75 -2299.41 1.35063 -48921.1 -2755.16 1.66709 -2478.5 -2298.51 -2299.62 -2211.94 1.99984 -82.4285 -84.4177 1.66709 -173.714 1.40715 -261.449 -2386.2 -2385.35 -44397.3 
3,21.5948,1 3 1 0 2 0 4 5 0 0 6 ,21.5948 -83.6136 -159.391 -4694.02 12.6064 2.14758 -172.699 -82.0555 -84.0169 -79.6872 -2755.16 -256.156 -4429.09 -2755.16 2.05273 -82.7557 -80.6133 -4515.36 3.01983 -2300.6 -261.449 -2472.95 -81.992 -259.021 -46523.5 -84.9396 -83.7278 3.75059 -83.1867 -2387.7 -4514.07 -75.7344 -261.449 -44397.3 -4603.48 -83.3262 -84.1281 -2481.33 -2298.25 -83.9753 -2212.04 -2212.04 -83.614 -4604.46 -165.88 5.48807 -84.34 4.11742 -2297.63 -4513.37 -83.6145 3.49232 -2299.41 -2300 2.32249 -83.1363 1.81078 -169.105 -2387.96 -261.449 -2477.53 -2297.95 4.58318 -83.6145 -44485.8 -2301.21 -172.212 -172.699 -46610.9 -166.303 -4515 -2300.17 1.63487 -85.0892 -2297.19 3.02432 -2299.41 -2297.47 -79.7803 3.02432 -83.6141 9.85211 2.36439 -167.313 -2299.62 -82.4286 -2298.03 2.97673 -2299.71 -83.6123 12.6064 -83.4118 -46523.5 3.02432 -2210.14 -2298.51 3.02432 3.49232 -172.699 -2474.35 
4,21.5948,1 3 1 0 2 0 4 5 0 0 6 ,21.5948 3.78607 -85.3358 -82.2158 -167.682 3.30438 -4602.05 3.13549 -4342.75 -2297.15 -46701.4 -2212.79 -2300 -2659.28 3.39753 -169.7 -83.9135 -172.271 -4973.66 -6644.37 -172.699 -4691.1 4.11742 3.13554 2.73313 0.974886 -246.349 3.62239 -77.3397 -2387.7 12.6064 -2299.31 -2299.01 -84.9396 12.6064 4.50549 3.25436 -79.2957 -2477.53 -2298.25 7.12292 -173.785 -2212.71 2.36439 -248.644 -2301.04 -161.83 5.0601 5.80831 -2298.91 -2386.58 -4514.94 3.79577 -82.1131 2.14758 1.60608 -83.3262 -2298.25 0.462356 -4428.31 1.65131 -4513.76 -169.7 -2299.55 -83.4118 -172.212 -2476.44 1.66709 -171.75 1.71867 -2298.78 -2297.63 -83.9753 -254.861 -2295.08 4.58318 -2474.35 -2298.55 -172.699 -2386.58 12.6064 -80.6133 2.2125 4.34773 -81.5792 -171.75 -79.2978 -82.4286 -2297.63 -2481.33 -83.7278 -82.0751 -2472.8 2.32249 2.2125 -77.7466 -82.4647 -2298.33 -83.9136 -173.636 
5,21.5948,1 3 1 0 2 0 4 5 0 0 6 ,21.5948 -83.7282 -170.19 -169.7 -2481.33 1.22938 -2212.79 -83.7278 5.80814 -2298.03 -83.9136 2.30406 1.66709 -2298.91 -84.339 -2755.16 -85.8863 3.62239 -4691.1 -83.7282 -2476.44 -79.2957 3.69811 1.66708 2.32249 12.6064 -83.7278 1.35063 -170.933 -167.682 -2472.8 -2213.25 -167.513 0.462356 -2299.55 -82.327 -83.3262 -2298.25 -86.2243 0.462356 -4429.09 -172.701 -2384.95 3.07491 -4429.77 -77.0618 5.80831 3.59408 -2385.51 -2386.58 -4602.05 -170.191 -2212.71 -2295.82 -2386.58 -167.682 -80.381 6.01298 -2300 -2384.15 -83.3378 -169.7 -4513.76 -4428.31 4.20757 -85 2.44384 -153.319 -84.7115 -4514.94 2.14758 3.41643 -83.6144 -2300 -83.271 -2386.75 2.89439 2.64252 -170.015 3.64806 -261.449 -4513.76 -84.7074 -259.574 -2298.91 -2472.8 -83.7278 -83.9135 -82.2158 -4427.79 -4973.66 -2477.53 -161.83 3.62239 -261.449 3.79577 -82.1131 1.65131 -85.3358 1.39544 
6,21.5948,1 3 1 0 2 0 4 5 0 0 6 ,21.5948 4.20757 -172.699 -72.3969 -171.574 5.80814 -83.7278 -2212.71 -4514.94 -73.8812 -80.6133 -83.4118 1.22938 -2386.58 -173.636 -2478.5 2.72014 -2385.51 -2476.44 2.44384 12.6064 3.26136 -259.574 -82.1131 -83.1363 3.69811 1.66709 1.71867 -2477.53 -83.9139 1.19796 -346.283 -2385.51 3.62239 -83.3378 2.64252 -2298.91 -2299.64 6.5161 -2477.53 -2384.47 -2212.71 -2755.16 -2298.97 -161.956 -170.933 -2213.25 -172.701 -2386.58 -2562.67 -2658.41 -167.682 -2213.25 -4691.1 3.79577 -172.699 4.20757 -169.588 2.37774 2.44384 -171.75 -80.6133 -86.1564 -175.38 -2384.95 5.80831 -167.682 0.462356 -167.682 -2300 -2300 -2299.7 -2299.54 -170.933 1.39544 -172.212 -82.327 -83.7278 -4426.86 -2385.35 -85.4625 -79.2957 -84.5375 -2299.01 -242.988 -2564.39 -4691.1 -2214.39 3.69504 -83.2827 -4426.86 0.458705 -83.4118 3.64806 -83.4118 -82.1131 -2385.51 3.41643 -77.0618 -167.504 
7,21.5948,1 3 1 0 2 0 4 5 0 0 6 ,21.5948 -170.767 -79.2957 1.22938 -2300.03 -2755.16 -4426.86 -81.6962 -4513.7 -2300.6 -169.588 -4691.1 -83.4118 -2476.44 -171.75 -2212.71 3.69504 -83.3378 -169.7 3.07491 -174.832 3.64806 -83.3378 -83.7282 -170.364 5.80814 3.79577 2.05141 3.79575 -259.71 5.80814 -170.933 2.44384 -346.283 3.26136 0.472655 3.64806 1.59128 -84.6352 0.458705 -83.3378 -86.1564 -2386.57 -171.75 -2300 4.11895 -2384.47 -2384.95 -2213.25 0.454216 -85.0581 -83.7278 -83.4118 -83.4118 -2299.7 -172.699 -2299.41 2.44384 3.69504 -164.402 12.6064 -2127.75 2.30406 1.99512 -172.699 -2299.54 -167.503 -170.933 -2386.2 -83.4118 -2299.64 -2384.47 -83.4118 3.62239 -82.1131 -346.283 3.64806 -247.816 3.62239 1.7873 21.5922 -83.3378 -2300 -2753.36 1.22938 4.20757 -2212.79 3.24598 -2214.39 -80.6133 -261.449 -258.13 5.42176 -2566.52 -2385.51 -2298.43 -173.636 -2477.53 -79.2957 -167.682 
8,21.5948,1 3 1 0 2 0 4 5 0 0 6 ,21.5948 -259.574 -83.4408 3.76944 2.65955 1.22938 5.0318 -2474.29 1.75 -2300 -171.229 -87.2601 3.49249 18.3681 -346.283 3.79577 4.88095 -2476.45 -2382.8 -4516.08 -170.933 -2300 -82.5751 1.22938 -2299.54 6.33689 -81.5773 -171.229 1.69187 -2299.81 3.64806 0.56973 -4428.31 2.2125 -2662.93 -163.703 3.32324 3.97942 2.10366 3.69504 3.97942 -77.5342 2.2673 -83.6145 -84.7486 -76.8726 -2753.36 -2386.57 3.56568 7.70371 3.79575 4.20757 -79.2957 -2753.36 4.50556 -81.7164 -169.105 -164.402 -82.2283 0.454216 -83.7282 -2298.97 -2213.25 5.42176 -2476.44 -83.3378 -2474.35 -261.487 -167.682 -83.3378 -85.3984 0.454216 1.6671 -86.1564 -2212.79 3.64806 -83.3378 2.32249 -2386.57 -160.454 -82.1131 -2755.16 -83.3378 -81.6962 -172.699 -2298.03 -252.98 -170.46 -2567.24 5.32564 -2386.58 2.15437 -159.391 -83.3378 -259.71 -83.4116 -83.9135 -2298.44 4.66737 3.79577 
9,21.5948,1 3 1 0 2 0 4 5 0 0 6 ,21.5948 2.675 3.5442 -254.615 3.62239 3.79575 -78.7791 0.454216 1.22938 -169.349 -79.295 3.40134 -2474.3 -2298.03 -2567.24 -83.3378 3.64806 -170.361 -169.95 3.64806 4.79154 -170.767 -2567.24 -167.831 -83.3378 3.64806 5.33926 -81.6962 4.88095 -2212.79 -76.8726 -83.6133 -82.1131 2.10366 -80.4701 -2212.79 0.71348 7.48848 -160.454 5.80814 4.22494 -346.283 -259.71 -2212.16 0.56973 4.50556 3.97942 -83.616 -2298.44 -4783.8 2.04285 3.26136 -84.4937 2.2673 3.03449 -85.3984 5.42176 5.9064 -258.153 4.6199 -2387.7 4.85845 -83.7282 0.458705 -81.5773 -83.7282 -83.7282 0.477501 -171.229 3.49249 3.69504 4.83644 3.56568 5.0318 -170.924 2.8951 -82.2283 -170.486 -2567.24 -164.402 -261.449 -84.0143 -173.71 -172.699 3.56207 -83.6145 -79.2986 2.01211 4.22494 -84.969 -170.933 -2475.66 4.11742 2.2125 3.64806 -2753.36 3.97942 -82.5541 4.85845 6.01298 
